Date,Open,High,Low,Close,Shares Traded(Cr),Turnover (Rs Cr),Price/Earnings,Price/Bookvalue,Dividend Yield
3-August-1990,0.00,0.00,0.00,1061.66,-,-,0.00,0.00,0.00,
7-August-1990,0.00,0.00,0.00,1043.54,-,-,0.00,0.00,0.00,
8-August-1990,0.00,0.00,0.00,1010.01,-,-,0.00,0.00,0.00,
9-August-1990,0.00,0.00,0.00,1025.83,-,-,0.00,0.00,0.00,
10-August-1990,0.00,0.00,0.00,1046.25,-,-,0.00,0.00,0.00,
13-August-1990,0.00,0.00,0.00,1092.55,-,-,0.00,0.00,0.00,
16-August-1990,0.00,0.00,0.00,1088.08,-,-,0.00,0.00,0.00,
17-August-1990,0.00,0.00,0.00,1080.96,-,-,0.00,0.00,0.00,
20-August-1990,0.00,0.00,0.00,1096.93,-,-,0.00,0.00,0.00,
21-August-1990,0.00,0.00,0.00,1134.03,-,-,0.00,0.00,0.00,
22-August-1990,0.00,0.00,0.00,1157.78,-,-,0.00,0.00,0.00,
23-August-1990,0.00,0.00,0.00,1151.27,-,-,0.00,0.00,0.00,
27-August-1990,0.00,0.00,0.00,1217.67,-,-,0.00,0.00,0.00,
28-August-1990,0.00,0.00,0.00,1207.87,-,-,0.00,0.00,0.00,
29-August-1990,0.00,0.00,0.00,1197.20,-,-,0.00,0.00,0.00,
30-August-1990,0.00,0.00,0.00,1247.53,-,-,0.00,0.00,0.00,
3-September-1990,0.00,0.00,0.00,1260.77,-,-,0.00,0.00,0.00,
4-September-1990,0.00,0.00,0.00,1201.93,-,-,0.00,0.00,0.00,
5-September-1990,0.00,0.00,0.00,1200.76,-,-,0.00,0.00,0.00,
6-September-1990,0.00,0.00,0.00,1229.83,-,-,0.00,0.00,0.00,
7-September-1990,0.00,0.00,0.00,1255.72,-,-,0.00,0.00,0.00,
10-September-1990,0.00,0.00,0.00,1282.27,-,-,0.00,0.00,0.00,
11-September-1990,0.00,0.00,0.00,1321.82,-,-,0.00,0.00,0.00,
12-September-1990,0.00,0.00,0.00,1286.25,-,-,0.00,0.00,0.00,
14-September-1990,0.00,0.00,0.00,1228.19,-,-,0.00,0.00,0.00,
18-September-1990,0.00,0.00,0.00,1314.56,-,-,0.00,0.00,0.00,
19-September-1990,0.00,0.00,0.00,1332.04,-,-,0.00,0.00,0.00,
20-September-1990,0.00,0.00,0.00,1331.73,-,-,0.00,0.00,0.00,
21-September-1990,0.00,0.00,0.00,1389.04,-,-,0.00,0.00,0.00,
25-September-1990,0.00,0.00,0.00,1466.11,-,-,0.00,0.00,0.00,
26-September-1990,0.00,0.00,0.00,1404.15,-,-,0.00,0.00,0.00,
27-September-1990,0.00,0.00,0.00,1420.08,-,-,0.00,0.00,0.00,
4-October-1990,0.00,0.00,0.00,1426.90,-,-,0.00,0.00,0.00,
9-October-1990,0.00,0.00,0.00,1559.43,-,-,0.00,0.00,0.00,
11-October-1990,0.00,0.00,0.00,1472.38,-,-,0.00,0.00,0.00,
12-October-1990,0.00,0.00,0.00,1402.73,-,-,0.00,0.00,0.00,
15-October-1990,0.00,0.00,0.00,1280.18,-,-,0.00,0.00,0.00,
18-October-1990,0.00,0.00,0.00,1311.32,-,-,0.00,0.00,0.00,
22-October-1990,0.00,0.00,0.00,1223.40,-,-,0.00,0.00,0.00,
25-October-1990,0.00,0.00,0.00,1299.17,-,-,0.00,0.00,0.00,
26-October-1990,0.00,0.00,0.00,1269.46,-,-,0.00,0.00,0.00,
31-October-1990,0.00,0.00,0.00,1295.21,-,-,0.00,0.00,0.00,
1-November-1990,0.00,0.00,0.00,1323.02,-,-,0.00,0.00,0.00,
5-November-1990,0.00,0.00,0.00,1331.75,-,-,0.00,0.00,0.00,
7-November-1990,0.00,0.00,0.00,1381.17,-,-,0.00,0.00,0.00,
8-November-1990,0.00,0.00,0.00,1412.17,-,-,0.00,0.00,0.00,
9-November-1990,0.00,0.00,0.00,1392.53,-,-,0.00,0.00,0.00,
12-November-1990,0.00,0.00,0.00,1293.50,-,-,0.00,0.00,0.00,
14-November-1990,0.00,0.00,0.00,1308.10,-,-,0.00,0.00,0.00,
16-November-1990,0.00,0.00,0.00,1320.74,-,-,0.00,0.00,0.00,
21-November-1990,0.00,0.00,0.00,1265.19,-,-,0.00,0.00,0.00,
22-November-1990,0.00,0.00,0.00,1241.95,-,-,0.00,0.00,0.00,
23-November-1990,0.00,0.00,0.00,1304.55,-,-,0.00,0.00,0.00,
26-November-1990,0.00,0.00,0.00,1327.57,-,-,0.00,0.00,0.00,
27-November-1990,0.00,0.00,0.00,1284.35,-,-,0.00,0.00,0.00,
29-November-1990,0.00,0.00,0.00,1208.56,-,-,0.00,0.00,0.00,
30-November-1990,0.00,0.00,0.00,1196.25,-,-,0.00,0.00,0.00,
3-December-1990,0.00,0.00,0.00,1203.90,-,-,0.00,0.00,0.00,
4-December-1990,0.00,0.00,0.00,1163.29,-,-,0.00,0.00,0.00,
5-December-1990,0.00,0.00,0.00,1173.77,-,-,0.00,0.00,0.00,
6-December-1990,0.00,0.00,0.00,1179.41,-,-,0.00,0.00,0.00,
10-December-1990,0.00,0.00,0.00,1214.45,-,-,0.00,0.00,0.00,
11-December-1990,0.00,0.00,0.00,1196.35,-,-,0.00,0.00,0.00,
12-December-1990,0.00,0.00,0.00,1215.20,-,-,0.00,0.00,0.00,
13-December-1990,0.00,0.00,0.00,1234.96,-,-,0.00,0.00,0.00,
14-December-1990,0.00,0.00,0.00,1242.84,-,-,0.00,0.00,0.00,
17-December-1990,0.00,0.00,0.00,1188.54,-,-,0.00,0.00,0.00,
18-December-1990,0.00,0.00,0.00,1111.73,-,-,0.00,0.00,0.00,
19-December-1990,0.00,0.00,0.00,1058.41,-,-,0.00,0.00,0.00,
21-December-1990,0.00,0.00,0.00,1034.97,-,-,0.00,0.00,0.00,
24-December-1990,0.00,0.00,0.00,1048.29,-,-,0.00,0.00,0.00,
2-January-1991,1027.38,1027.38,999.26,999.26,-,-,16.93,2.57,1.61,
3-January-1991,983.51,989.08,981.08,982.35,-,-,16.65,2.53,1.64,
7-January-1991,982.81,1010.77,978.69,1010.77,-,-,17.00,2.58,1.61,
